""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"symbol"
"ANKUB1"	-0.0673076495576848	6.05812259081999	-0.322327299941057	0.751461461809724	0.862175448374939	-6.28235026222127	"ANKUB1"
"CACNB2"	-0.0594007665922859	5.47391708752864	-0.322231606401227	0.751532581840441	0.862175448374939	-6.28238184357679	"CACNB2"
"BDNF"	-0.0714694485495222	5.71437088501944	-0.322214193577767	0.751545523407786	0.862175448374939	-6.28238758926641	"BDNF"
"ARHGAP33"	-0.0666521436822857	8.97861047548333	-0.322200906192785	0.751555398916303	0.862175448374939	-6.28239197348373	"ARHGAP33"
"COPG2"	0.100740041022929	5.52482064703771	0.321900840309149	0.751778427091955	0.862381408873548	-6.28249093373896	"COPG2"
"CSN2"	0.0754457100398724	4.80103614598732	0.32183314899526	0.751828742758141	0.862389234722227	-6.2825132454282	"CSN2"
"AKR1B1"	-0.10216161977786	11.9937379329935	-0.321646690275671	0.751967345476676	0.862421625834873	-6.28257468002744	"AKR1B1"
"NADSYN1"	-0.0704352506633634	11.1442264945155	-0.321637403798129	0.751974248741188	0.862421625834873	-6.28257773882686	"NADSYN1"
"PSG5"	-0.0656676407731202	6.00451847909053	-0.321557735450428	0.752033472487628	0.862421625834873	-6.28260397657438	"PSG5"
"VN1R10P"	-0.0837768347437502	4.61683578130329	-0.321469324145643	0.752099197438405	0.862421625834873	-6.28263308619643	"VN1R10P"
"FZD8"	-0.0910880640670286	4.53159297932638	-0.321450563293928	0.752113144506686	0.862421625834873	-6.28263926223366	"FZD8"
"NAIF1"	-0.0589701264554997	8.42916846180683	-0.321426289279312	0.752131190265969	0.862421625834873	-6.28264725266613	"NAIF1"
"C22orf26"	-0.138615139746698	5.66018358944149	-0.321385589980857	0.752161447224251	0.862421625834873	-6.28266064857846	"C22orf26"
"UGCG"	-0.0777045182456118	9.72397082833106	-0.321308767766666	0.752218560074015	0.862437238877505	-6.28268592955573	"UGCG"
"FAM162A"	-0.117782235348251	10.2772479001935	-0.321222464678984	0.75228272317898	0.862460932939741	-6.28271432342732	"FAM162A"
"PPP1R1A"	-0.0776381245331968	4.40763805671247	-0.321056961123491	0.752405774116467	0.862534301479786	-6.28276875334399	"PPP1R1A"
"MAGEA9"	0.0963530579394989	5.34469752140937	0.32101937434487	0.75243372063223	0.862534301479786	-6.28278111082496	"MAGEA9"
"ATP5D"	0.0620682565720977	9.76163230459369	0.320843383383864	0.752564578144141	0.862581551578389	-6.28283895274026	"ATP5D"
"SULT1C4"	0.0938311672298228	4.78606201396961	0.320818898465265	0.752582784445342	0.862581551578389	-6.28284699757497	"SULT1C4"
"NDFIP2"	-0.0857193166926157	5.02996699076751	-0.320788418137405	0.752605448976504	0.862581551578389	-6.28285701143211	"NDFIP2"
"FLJ20712"	0.0816981329302741	5.3771235214667	0.320641232169128	0.752714896664657	0.862657127973344	-6.28290535397669	"FLJ20712"
"PHAX"	0.0833554115794845	6.60787448333176	0.320361888721076	0.752922631846305	0.862798047414944	-6.2829970428376	"PHAX"
"ST18"	0.0975648482418154	5.72977106918051	0.320358859392467	0.752924884729714	0.862798047414944	-6.28299803672156	"ST18"
"ZRANB3"	-0.126226916108112	5.02125864927906	-0.320192179453545	0.753048846605089	0.862890229454791	-6.2830527079868	"ZRANB3"
"MKL2"	0.0755292680473013	4.16736867863603	0.319820647322728	0.753325184677742	0.863156992880108	-6.28317447004899	"MKL2"
"OR10X1"	-0.0876831644012038	5.17579181457358	-0.319749324988279	0.75337823675699	0.8631679000588	-6.28319782852867	"OR10X1"
"COL27A1"	-0.0778713889851209	6.15335907987323	-0.319688909616771	0.753423176851113	0.863169512370941	-6.28321761089335	"COL27A1"
"SASH3"	-0.151922860198037	7.69548524758913	-0.319347750320836	0.753676966082853	0.863371159289449	-6.28332925062264	"SASH3"
"FOXD4L4"	-0.12642668332897	5.68342800624277	-0.319335241818152	0.753686271744052	0.863371159289449	-6.28333334162447	"FOXD4L4"
"AP4B1"	-0.0597623759500477	10.7986460931553	-0.319262578256633	0.753740330348846	0.863383204515132	-6.28335710367312	"AP4B1"
"EXD3"	-0.0906308912078422	5.30100394858789	-0.318775785433264	0.754102517712517	0.863748178684293	-6.28351615444858	"EXD3"
"LINC00583"	-0.106012617105464	6.24957278942198	-0.318645901458436	0.754199165035886	0.863808978993273	-6.28355855122302	"LINC00583"
"CSDAP1"	-0.153177125246893	8.22497533653706	-0.31810776116877	0.754599642978967	0.864217739328075	-6.28373402951727	"CSDAP1"
"INHBA"	0.116812901675417	4.36579813469445	0.317928541895848	0.754733032034511	0.864234358691504	-6.28379240487251	"INHBA"
"AKIP1"	0.0660413913370169	7.11385237013312	0.317894694136722	0.754758225096641	0.864234358691504	-6.28380342613027	"AKIP1"
"LOC100240735"	-0.08439640903731	5.55026545357138	-0.31786981558517	0.754776742513892	0.864234358691504	-6.28381152616246	"LOC100240735"
"NOP56"	0.0867318674136934	8.8690193836163	0.317838098983593	0.754800349801784	0.864234358691504	-6.28382185164002	"NOP56"
"AKR7A2"	-0.0964298380085401	10.8595192909985	-0.317795460119008	0.75483208714038	0.864234358691504	-6.28383573130562	"AKR7A2"
"CKM"	0.0795669275415592	4.62474173238049	0.317664201894841	0.754929789281366	0.864296313982962	-6.28387844652408	"CKM"
"CHAD"	0.0922226724064811	7.83752479992372	0.317429536478367	0.755104473359968	0.864446391326873	-6.28395477003475	"CHAD"
"MROH7"	-0.0679195288041973	5.38586849539487	-0.317325044172802	0.755182261476722	0.864485530890852	-6.2839887376163	"MROH7"
"NDUFA7"	0.064200051030365	11.6274825627664	0.31720555713887	0.755271215590827	0.864537447334887	-6.28402756604711	"NDUFA7"
"USP34"	-0.0815788506390977	10.4132883286844	-0.317104227665727	0.75534665479872	0.864573888549848	-6.28406048270014	"USP34"
"NSDHL"	0.080237194676178	9.03218128478096	0.31666100180109	0.755676664001686	0.864892457111613	-6.2842043416463	"NSDHL"
"C1orf123"	0.0826479235746446	10.4931669641193	0.316555410231927	0.755755290711323	0.864892457111613	-6.28423858448096	"C1orf123"
"LRP1B"	-0.0900219848549662	3.93685171598514	-0.316554678241413	0.755755835783529	0.864892457111613	-6.2842388218226	"LRP1B"
"GJA3"	0.0615627730671303	9.11484969358728	0.316475895703089	0.755814501493412	0.864909674820302	-6.28426436321837	"GJA3"
"SPANXD"	0.0720989016884824	4.80081586441534	0.315972484317326	0.756189405141889	0.865286106077434	-6.28442742166952	"SPANXD"
"POMC"	-0.133316283863401	8.00952053152883	-0.315916998293152	0.756230730896502	0.865286106077434	-6.28444537830395	"POMC"
"LRRC33"	0.094056962638046	9.56624285996703	0.315659932197743	0.756422202619939	0.865455247175311	-6.28452853056577	"LRRC33"
"MNS1"	-0.0988567676981792	4.29910130852987	-0.315328422409879	0.756669146827018	0.865660944491179	-6.28463566423443	"MNS1"
"KCNN3"	0.119431323503702	4.19358307706145	0.315301366085178	0.756689302497535	0.865660944491179	-6.2846444030942	"KCNN3"
"HYOU1"	-0.0661757058434965	10.5195366623214	-0.31519225717276	0.756770585273819	0.865703984584854	-6.28467963641917	"HYOU1"
"FGFRL1"	-0.0638754227607095	9.21785960884502	-0.314907649315112	0.756982623258666	0.865896587860438	-6.28477148501581	"FGFRL1"
"LRRK1"	0.131280141308017	7.78983408889424	0.314683678652538	0.757149499566066	0.866037512396652	-6.28484370720352	"LRRK1"
"PHF5A"	-0.0872535751370822	7.94100051912111	-0.31460617862153	0.757207246270219	0.866053604005878	-6.28486868626217	"PHF5A"
"PSMA7"	-0.0723217016033636	13.3626153066608	-0.314381862484865	0.757374396752993	0.866187524936706	-6.28494095143696	"PSMA7"
"AQP10"	0.132382749060885	7.17729053489966	0.314331795663304	0.757411706039571	0.866187524936706	-6.28495707390471	"AQP10"
"C11orf31"	-0.0720703051355979	11.1440139931857	-0.314115935401635	0.757572570018494	0.866291306768575	-6.28502655598822	"C11orf31"
"COA6"	0.0713876870634429	9.11186645312907	0.313967060527895	0.757683521681123	0.866291306768575	-6.2850744490568	"COA6"
"ETHE1"	0.0778887968997793	9.61433308579799	0.31396614062982	0.757684207268663	0.866291306768575	-6.28507474491848	"ETHE1"
"KRTAP4-6"	0.0688395927238998	5.01718382909637	0.313944559765371	0.75770029125385	0.866291306768575	-6.28508168560576	"KRTAP4-6"
"LOC154449"	-0.0980843593894533	3.65012855470003	-0.313839744079438	0.757778410890826	0.866291306768575	-6.28511538899811	"LOC154449"
"DCBLD1"	-0.063101827836778	5.7957865134214	-0.313771968825874	0.757828925560923	0.866291306768575	-6.28513717615748	"DCBLD1"
"TMEM201"	-0.0835884407877004	10.121877092364	-0.313756325760258	0.757840584908403	0.866291306768575	-6.28514220414673	"TMEM201"
"ATPBD4"	-0.096711205639898	5.6697966892202	-0.313705721867515	0.75787830225011	0.866291306768575	-6.28515846753912	"ATPBD4"
"TYMP"	0.126086503345625	12.1560980110438	0.313682423646613	0.757895667667666	0.866291306768575	-6.28516595439505	"TYMP"
"RSPO4"	-0.0739485901534479	4.80126424230381	-0.313621274767607	0.757941245855321	0.866293464538812	-6.2851856019046	"RSPO4"
"ZNF324"	0.133329891497074	9.52621666909989	0.313325286624981	0.758161877890369	0.866495689365972	-6.28528065125982	"ZNF324"
"MAMLD1"	-0.0799114485771229	6.76328196163869	-0.313146360670751	0.758295261283737	0.866598181022129	-6.28533806598917	"MAMLD1"
"COL17A1"	0.094761131849124	6.67848519970913	0.313085702292529	0.758340481896116	0.866599912110898	-6.28535752302965	"COL17A1"
"BACH1"	-0.160176835051341	9.40412805686356	-0.31274469366007	0.758594719553212	0.866750569686925	-6.28546683715395	"BACH1"
"PXDNL"	0.06048363544585	5.14684966687931	0.312733141853624	0.758603332459628	0.866750569686925	-6.28547053815503	"PXDNL"
"OR6X1"	-0.0687342703703049	4.2599865327687	-0.312728060398166	0.758607121150242	0.866750569686925	-6.28547216612366	"OR6X1"
"PRSS45"	-0.0713226144228395	4.71280431632322	-0.312674343337876	0.758647172529584	0.866750569686925	-6.28548937410146	"PRSS45"
"TMEM231"	-0.111664329007427	5.95807727434066	-0.312420695125972	0.758836301954759	0.866862738905544	-6.28557058954793	"TMEM231"
"WNT1"	-0.118030282608475	6.1490081701196	-0.312405095854579	0.758847933861905	0.866862738905544	-6.28557558214398	"WNT1"
"MDH1B"	-0.0957203368621349	3.72686093267564	-0.312366774664722	0.75887650907416	0.866862738905544	-6.28558784591682	"MDH1B"
"IGF2BP3"	-0.118166016327127	8.0888064301002	-0.311865795171843	0.759250110979538	0.867196315528672	-6.28574803569274	"IGF2BP3"
"U2AF1"	0.106518906573651	7.89878654290308	0.311857894278809	0.759256003509065	0.867196315528672	-6.28575055999496	"U2AF1"
"LOC100505695"	0.064244108046071	4.1979110232705	0.311691159253137	0.759380358988634	0.867255898340832	-6.28580381641099	"LOC100505695"
"KLF12"	-0.126723314688071	8.54248039908263	-0.31167066058253	0.759395647921804	0.867255898340832	-6.28581036189887	"KLF12"
"SCGB2B2"	0.0708285604352395	7.96599242794538	0.311424395801429	0.759579332575966	0.867399720835677	-6.28588896417063	"SCGB2B2"
"SLC35G1"	0.0797142998563072	4.24781524523578	0.311345217722934	0.759638393304189	0.867399720835677	-6.28591422302995	"SLC35G1"
"GUCA1B"	0.0910204946693478	4.09454395185733	0.311257573771721	0.759703770714221	0.867399720835677	-6.28594217522047	"GUCA1B"
"SNORD2"	-0.106064738281165	7.5795358012434	-0.311176969000467	0.759763898960292	0.867399720835677	-6.2859678755539	"SNORD2"
"BATF2"	-0.0902319988862445	5.71927138788172	-0.311172745113276	0.759767049871443	0.867399720835677	-6.28596922213302	"BATF2"
"MFSD8"	0.066668930960597	7.05046259747001	0.311138968265937	0.759792246687875	0.867399720835677	-6.28597998957381	"MFSD8"
"BRD9"	0.0891170863768835	8.95425479326306	0.311091299985094	0.759827806697341	0.867399720835677	-6.2859951833858	"BRD9"
"TMEM184A"	-0.0650231518139284	10.4348622640861	-0.31095731086074	0.7599277640856	0.867452391932052	-6.28603787883643	"TMEM184A"
"WDR37"	0.118446470103999	6.91792873134349	0.310863636883248	0.759997648537867	0.867452391932052	-6.2860677171344	"WDR37"
"USP19"	-0.100265852206972	7.93436833519279	-0.310853525323354	0.760005192285839	0.867452391932052	-6.28607093747396	"USP19"
"SLC18A1"	0.103522406683506	3.82309121788502	0.310742705707157	0.760087871108388	0.867496823135735	-6.28610622463612	"SLC18A1"
"GFI1B"	-0.0930816790316659	8.54013401747081	-0.310660032577204	0.760149552736079	0.867517286269769	-6.28613254130812	"GFI1B"
"CPM"	0.0852029386260345	7.0210533548513	0.310102740862844	0.760565386407291	0.867868555838006	-6.28630975909659	"CPM"
"DTHD1"	-0.144217528664275	6.38865292853733	-0.310095582835819	0.760570727998013	0.867868555838006	-6.28631203329292	"DTHD1"
"LOC100996710"	-0.073548671255824	5.62489234966046	-0.310056872311917	0.760599615473474	0.867868555838006	-6.2863243312211	"LOC100996710"
"RERGL"	0.129247453132029	2.86027427091208	0.309992455028865	0.760647687262495	0.867868555838006	-6.28634479255712	"RERGL"
"NOL4"	-0.0732635907203795	5.34979189453577	-0.309860233382396	0.760746361649269	0.867868555838006	-6.28638677794045	"NOL4"
"FZR1"	0.0756683742443383	9.35277368135532	0.309827940710143	0.76077046167825	0.867868555838006	-6.28639702940024	"FZR1"
"SPANXN4"	-0.0973902062532704	5.50270642518292	-0.309790427465541	0.760798458141708	0.867868555838006	-6.28640893683046	"SPANXN4"
"MORN4"	-0.0819589053039768	10.6760416312218	-0.309778303503935	0.760807506434145	0.867868555838006	-6.28641278490622	"MORN4"
"GPR83"	0.0657328392373694	4.40688933208153	0.309693974617723	0.760870443327187	0.867890418816744	-6.28643954629562	"GPR83"
"SSUH2"	0.0857237683235442	3.74463899703931	0.309628625697309	0.760919216161604	0.867896123910048	-6.286460279531	"SSUH2"
"KRT71"	0.103059323387297	4.77700583372329	0.309475291246653	0.761033660645171	0.867908145343713	-6.28650891095053	"KRT71"
"MPC1L"	0.0913925503728853	4.86238048474334	0.309457188993313	0.761047172032481	0.867908145343713	-6.28651465067536	"MPC1L"
"MSMB"	0.110626043118392	4.5566501110252	0.309438567087116	0.761061071368324	0.867908145343713	-6.2865205548218	"MSMB"
"ADAMTS2"	0.170254100114742	3.42999104904721	0.309269776872955	0.761187059748058	0.868001899050178	-6.28657405440072	"ADAMTS2"
"LINC00273"	-0.0897025039450038	5.23631056778004	-0.309151853367153	0.761275084329375	0.86805235333158	-6.28661141421393	"LINC00273"
"FAM133A"	-0.0896659775827155	5.26185313367995	-0.309051540753863	0.76134996584414	0.868087816144774	-6.28664318357548	"FAM133A"
"INPP5F"	0.0829206330354818	6.78959615649184	0.308768276840961	0.761561430377647	0.868278997270311	-6.28673283929598	"INPP5F"
"ZSCAN2"	-0.0745340040779546	9.64018421240425	-0.308607429701327	0.761681516029214	0.868291197385568	-6.28678371280452	"ZSCAN2"
"DNASE1"	-0.0715390615564935	4.54622308978573	-0.308550851315779	0.761723757957504	0.868291197385568	-6.28680160146526	"DNASE1"
"TMEM255B"	0.0959719835833536	6.68617570972263	0.308531793087672	0.761737987176497	0.868291197385568	-6.28680762646775	"TMEM255B"
"GHITM"	-0.061904443473621	11.5304979674131	-0.308519325610826	0.76174729566885	0.868291197385568	-6.28681156769402	"GHITM"
"CHST8"	-0.0899628167170216	5.87957563796183	-0.308388269473436	0.76184514735308	0.868352815688484	-6.28685298772235	"CHST8"
"LIPT2"	0.0996872655437182	6.85427124661555	0.308291850071947	0.761917140553422	0.868384955043585	-6.28688344978315	"LIPT2"
"CTSZ"	0.0890905945952292	8.65942052066901	0.308049126847643	0.762098384029687	0.868541600100048	-6.28696009238549	"CTSZ"
